id,origin,stateId,stateCode,stateName,category,specificSubcategory,sourceName,sourceUrl,domain,organizationType,targetTable,expectedExtractionFields,crawlMethod,robotsStatus,termsRisk,priority,sourceFamily,gapFamily,whyNeeded,duplicateGroup,firstPartyMode,ledgerStatus,shouldScrape,safeForLightweightScrape,quarantineClassification,quarantineReason,rowCount,trustedMissingRows,notes
state_source_targets-alabama-counties-https-www-alabama-gov,state_source_targets,alabama,AL,alabama,A. State identity and geography,County List,Alabama County Metadata,https://www.alabama.gov/,alabama.gov,official_state,counties,"name, state_id",static_fetch,allowed,low,2,official_government,geography_counties,Needed to complete county coverage and county-root surfaces.,alabama.gov|www.alabama.gov/,first_party,ready_lightweight,true,true,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-county-offices-https-medicaid-alabama-gov,state_source_targets,alabama,AL,alabama,B. Medicaid / benefits / HHS,Medicaid Landing Page,Alabama Medicaid Portal,https://medicaid.alabama.gov/,medicaid.alabama.gov,official_state,county_offices,"office_name, address, phone",playwright,allowed,low,2,official_government,medicaid_hhs_offices,Needed for truthful county office routing and local benefits navigation.,medicaid.alabama.gov|medicaid.alabama.gov/,first_party,ready_js_heavy,true,false,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-state-resource-agencies-https-mh-alabama-gov,state_source_targets,alabama,AL,alabama,C. Developmental disability / DD / IDD services,State DD Agency Page,Alabama Developmental Services Directory,https://mh.alabama.gov/,mh.alabama.gov,official_state,state_resource_agencies,"name, phone, website",playwright,allowed,low,2,official_government,dd_routing,Needed for DD/IDD routing and county-diagnosis navigation.,mh.alabama.gov|mh.alabama.gov/,first_party,ready_js_heavy,true,false,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-programs-https-mh-alabama-gov-waivers,state_source_targets,alabama,AL,alabama,D. HCBS waivers,Waiver Page,Alabama HCBS Waivers Page,https://mh.alabama.gov/waivers,mh.alabama.gov,official_state,programs,"program_id, name",static_fetch,allowed,low,2,official_government,waivers,Needed for waiver program and waitlist depth.,mh.alabama.gov|mh.alabama.gov/waivers,first_party,ready_lightweight,true,true,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-programs-https-www-rehab-alabama-gov-services-ei,state_source_targets,alabama,AL,alabama,E. Early intervention,Early Intervention Landing Page,Alabama Early Intervention / Part C,https://www.rehab.alabama.gov/services/ei,rehab.alabama.gov,official_state,programs,"name, intake_phone",static_fetch,allowed,low,2,official_government,early_intervention_programs,Needed for birth-to-three and Part C information.,rehab.alabama.gov|www.rehab.alabama.gov/services/ei,first_party,ready_lightweight,true,true,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-programs-https-www-alabama-education-gov,state_source_targets,alabama,AL,alabama,F. Special education / IEP,SEA Special Ed Page,Alabama Department of Education Special Ed,https://www.alabama-education.gov/,alabama-education.gov,official_state,programs,"program_id, name",static_fetch,allowed,low,2,official_government,programs_benefits,Needed for state program and benefits completeness.,alabama-education.gov|www.alabama-education.gov/,first_party,do_not_use,false,false,generated_fake_domain,Programmatically generated fake domain (failed DNS),0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-regional-education-agencies-https-www-alabama-education-gov-regional,state_source_targets,alabama,AL,alabama,G. Regional education structures,Regional Agency Directory,Alabama Regional Special Education Support,https://www.alabama-education.gov/regional,alabama-education.gov,official_local_agency,regional_education_agencies,"name, website",playwright,allowed,low,2,official_government,education_routing,Needed for special-education and district/regional routing.,alabama-education.gov|www.alabama-education.gov/regional,first_party,do_not_use,false,false,generated_fake_domain,Programmatically generated fake domain (failed DNS),0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-nonprofit-organizations-https-www-apnsof-org,state_source_targets,alabama,AL,alabama,H. Parent training / disability rights / legal aid,PTI Center,Alabama Parent Training Center,https://www.apnsof.org/,apnsof.org,nonprofit,nonprofit_organizations,"name, website, phone",static_fetch,allowed,low,2,nonprofit,parent_training_nonprofits,Needed to discover real state or local family support organizations.,apnsof.org|www.apnsof.org/,first_party,do_not_use,false,false,generated_fake_domain,Programmatically generated fake domain (failed DNS),0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-nonprofit-organizations-https-www-thearcal-org,state_source_targets,alabama,AL,alabama,I. Condition-specific nonprofits,The Arc State Chapter,The Arc of Alabama,https://www.thearcal.org/,thearcal.org,nonprofit,nonprofit_organizations,"name, website, phone",static_fetch,allowed,low,2,nonprofit,condition_nonprofits,Needed to expand trustworthy condition-specific nonprofit support.,thearcal.org|www.thearcal.org/,first_party,do_not_use,false,false,generated_fake_domain,Programmatically generated fake domain (failed DNS),0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-iep-advocates-https-www-copaa-org,state_source_targets,alabama,AL,alabama,J. Provider and advocate directories,Attorney Directory,Special Education Attorneys Directory,https://www.copaa.org/,copaa.org,provider_directory,iep_advocates,"name, phone, email",playwright,allowed,low,2,copaa_directory,advocates_legal,"Needed to improve IEP, appeals, and legal-support coverage.",copaa.org|www.copaa.org/,third_party_directory,do_not_use,false,false,do_not_use,Prohibited referral directory (parentcenterhub/COPAA/legal directory),0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-forms-https-medicaid-alabama-gov-forms,state_source_targets,alabama,AL,alabama,K. Forms and guides,Forms Library,Alabama Medicaid & Special Education Forms,https://medicaid.alabama.gov/forms,medicaid.alabama.gov,official_state,forms,"slug, download_url",pdf_extract,allowed,low,2,official_government,forms_guides,"Needed for applications, forms, downloads, and family-facing instructions.",medicaid.alabama.gov|medicaid.alabama.gov/forms,first_party,ready_pdf,true,true,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-programs-https-medicaid-alabama-gov-rehab,state_source_targets,alabama,AL,alabama,L. Transition / adult services,Vocational Rehabilitation,Alabama Vocational Rehabilitation Services,https://medicaid.alabama.gov/rehab,medicaid.alabama.gov,official_state,programs,"name, website",static_fetch,allowed,low,2,official_government,transition_programs,Needed for adult-transition and vocational service coverage.,medicaid.alabama.gov|medicaid.alabama.gov/rehab,first_party,ready_lightweight,true,true,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-resource-providers-https-www-childrensal-org,state_source_targets,alabama,AL,alabama,M. Hospitals / university clinics,Hospitals,Alabama Children's Hospital Clinics,https://www.childrensal.org/,childrensal.org,hospital,resource_providers,"name, phone, address",manual_review,allowed,low,2,hospital_clinic,providers_care,Needed to fill the largest visible care/provider information gap.,childrensal.org|www.childrensal.org/,first_party,manual_review,false,false,,,0,0,Initial category-level scaffold source target for Alabama.
state_source_targets-alabama-sources-https-www-alabama-gov-business,state_source_targets,alabama,AL,alabama,N. Data quality / verification sources,Open Data Portal,Alabama Secretary of State Business Registry,https://www.alabama.gov/business,alabama.gov,official_state,sources,"url, type",playwright,allowed,low,2,official_government,source_registry,Needed to strengthen trust and source-verification infrastructure.,alabama.gov|www.alabama.gov/business,first_party,ready_js_heavy,true,false,,,0,0,Initial category-level scaffold source target for Alabama.
