id,sourceName,sourceUrl,domain,finalStatus,acceptedRunCount,rejectedRunCount,duplicatePromotionRunCount,promotedRunCount,followupRunCount,lastFollowupReason,lastValidationReasons,nextAction,latestAcceptedRunId,latestRejectedRunId,latestFollowupRunId
knowledge-acl-lifespan-respite,ACL Lifespan Respite Care Program,https://acl.gov/programs/support-caregivers/lifespan-respite-care-program,acl.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-17-41-638Z
knowledge-acl-supported-decision-making,ACL Supported Decision-Making Program,https://acl.gov/programs/consumer-control/supported-decision-making-program,acl.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-18-20-727Z
knowledge-cdc-adhd-diagnosis,CDC ADHD Diagnosis,https://www.cdc.gov/adhd/diagnosis,cdc.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-10-24-756Z
knowledge-cdc-adhd-about,CDC ADHD Overview,https://www.cdc.gov/adhd/about,cdc.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-11-09-081Z
knowledge-cdc-adhd-symptoms,CDC ADHD Symptoms and Diagnosis Criteria,https://www.cdc.gov/adhd/signs-symptoms,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-15-21-862Z
knowledge-cdc-adhd-treatment,CDC ADHD Treatment,https://www.cdc.gov/adhd/treatment,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-18-54-925Z
knowledge-cdc-autism-diagnosis,CDC Autism Diagnosis,https://www.cdc.gov/autism/diagnosis,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-01-49-055Z
knowledge-cdc-autism-signs-symptoms,CDC Autism Signs and Symptoms,https://www.cdc.gov/autism/signs-symptoms,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-02-52-498Z
knowledge-cdc-cerebral-palsy,CDC Cerebral Palsy,https://www.cdc.gov/cerebral-palsy/about,cdc.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-04-43-934Z
knowledge-cdc-act-early-concerned,CDC Concerned About Your Childs Development,https://www.cdc.gov/act-early/families/concerned.html,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-16-03-659Z
knowledge-cdc-act-early-milestone-checklists,CDC Developmental Milestone Checklists,https://www.cdc.gov/act-early/resources/milestone-checklists.html,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-20-59-659Z
knowledge-cdc-act-early-monitoring-screening,CDC Developmental Monitoring and Screening,https://www.cdc.gov/act-early/about/developmental-monitoring-and-screening.html,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-21-49-614Z
knowledge-cdc-developmental-screening,CDC Developmental Screening,https://www.cdc.gov/child-development/screening,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-05-14-148Z
knowledge-cdc-down-syndrome,CDC Down Syndrome,https://www.cdc.gov/down-syndrome/about,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-05-40-838Z
knowledge-cdc-act-early-ei-contacts,CDC Early Intervention Contact Information by State,https://www.cdc.gov/act-early/early-intervention/contact-information-by-state.html,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-22-40-523Z
knowledge-cdc-act-early-about,CDC Learn the Signs Act Early About,https://www.cdc.gov/act-early/about,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-17-14-011Z
knowledge-cdc-act-early-intervention,CDC Learn the Signs Act Early Early Intervention,https://www.cdc.gov/act-early/early-intervention,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-18-13-173Z
knowledge-cdc-act-early-other-programs,CDC Learn the Signs Act Early Other Programs for Children,https://www.cdc.gov/act-early/other-programs,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-25-10-349Z
